id,url,title,authors,rating_value,desc,pub_info,cover,format,num_pages,publication_date,publisher,isbn,isbn13,language,review_count_by_lang,genres,rating_count,review_count,comments,price,current
WO_cfDHDIYYC,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9781557344496,A Guide for Using Hatchet in the Classroom,['Donna Ickes'],,"Teaching literature unit based on the popular children's story, Hatchet.",,http://books.google.com/books/content?id=WO_cfDHDIYYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,50,1994-08,Teacher Created Resources,1557344493,9781557344496,en,{},['Education'],,,[],,
MhUNAQAAMAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9788427932067,El hacha,['Gary Paulsen'],5.0,"The only survivor of a plane crash, Brian spends 54 days in the wilderness, learning to cope with only a hatchet given him by his mother and also learning to survive his parents' divorce.",,http://books.google.com/books/content?id=MhUNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,152,1996,Lectorum Publications,9788427932067,,es,{},['Fiction'],1.0,,[],,
aTaKNb1spQ8C,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9780385326506,Guts,['Gary Paulsen'],4.0,"The author relates incidents in his life and how they inspired parts of his books about the character, Brian Robeson.",,http://books.google.com/books/content?id=aTaKNb1spQ8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,148,2001,Delacorte Books for Young Readers,0385326505,9780385326506,en,{},"['Authors, American']",4.0,,[],,
Jtj9PAAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9781575606248,Molly Hatchet,['Molly Hatchet'],,"(Play It Like It Is). Molly Hatchet is one of the classic Southern Rock bands, along with Lynyrd Skynyrd. They feature a three-guitar attack that has helped define rockin' boogie music. This songbook features five killer tunes transcribed in notes and tab exactly as recorded: Beatin' the Odds * Bounty Hunter * Flirtin' with Disaster * Gator Country * Whiskey Man.",,http://books.google.com/books/content?id=Jtj9PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,0,2003,Cherry Lane Music,1575606240,9781575606248,en,{},['Guitar music (Rock)'],,,[],,
gzfXPAAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9780912299624,The Woodsman and His Hatchet,['Bud Cheff (Sr.)'],,,,http://books.google.com/books/content?id=gzfXPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,0,2003-06,Stoneydale Press,0912299622,9780912299624,en,{},['Outdoor life'],,,[],,
JIVSPgAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9781595580276,Hatchet Jobs,['Dale Peck'],,"Rife with textual analysis, historical context, and insights about the power of fiction, Peck hacks away literature's deadwood to discover the vital heart of the contemporary novel.",,http://books.google.com/books/content?id=JIVSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,228,2005,,1595580271,9781595580276,en,{},['Literary Criticism'],,,[],,
TpEoAQAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9781595962805,A Changeling for All Seasons,"['Angela Knight', 'Kate Douglas', 'Shelby Morgen']",,"A Changeling For All Seasons Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long! Angela Knight - A Vampire Christmas Sahara Kelly - A Christmas Pageant Judy Mays - Jingle Balls Marteeka Karland - Sealed With A Kiss Kate Douglas - My Valentine Shelby Morgen - Changeling Willa Okati - Elven Enchantment Kate Hill - Jolene's Pooka Lacey Savage - Chemistry to Burn Shelby Morgen - Troll Under The Bridge Filled with the unexpected, A Changeling For All Seasons offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless. www.ChangelingPress.com A Vacation For Your Mind -- No Passport Required.",,http://books.google.com/books/content?id=TpEoAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,304,2005-10-01,Changeling PressLlc,1595962808,9781595962805,en,{},['Fiction'],,,[],,
0Ng2AAAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9780670059676,Changeling,['Delia Sherman'],5.0,"In a parallel New York City, Neef, a changeling, breaks Fairy Law and will end up sacrificed to the Wild Hunt unless she can meet the challenge of the Green Lady of Central Park.",,http://books.google.com/books/content?id=0Ng2AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,0,2006,Viking Juvenile,0670059676,9780670059676,en,{},['Changelings'],1.0,,[],,
TACTEAAAQBAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9780141312620,The Changeling Sea,['Patricia A. McKillip'],,"World Fantasy Award winner Patricia A. McKillip tells ""an enchanting fantasy that is tinged with realism and romance."" (School Library Journal) Since the day her father's fishing boat returned without him, Peri and her mother have mourned his loss. Her mother sinks into a deep depression and spends her days gazing out at the sea. Unable to control her anger and sadness any longer, Peri uses the small magic she knows to hex the sea. And suddenly into her drab life come the King's sons—changelings with strange ties to the underwater kingdom—a young magician, and, finally, love. ""McKillip is a master storyteller; her tale rings true as if it were being told from memory.""—Kirkus Reviews, pointer review",,http://books.google.com/books/content?id=TACTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,145,2003-04-14,Penguin,0141312629,9780141312620,en,{},['Young Adult Fiction'],,,[],,
k6TgAAAACAAJ,https://www.googleapis.com/books/v1/volumes?q=isbn%3A9780593056127,Changelings,"['Anne McCaffrey', 'Elizabeth Ann Scarborough']",,"With three acclaimed novels - Powers That Be, Power Lines and Power Play - bestselling authors Anne McCaffrey and Elizabeth Ann Scarborough launched a thought-provoking science fiction saga that told the story of a sentient planet, Petaybee. The planet and its inhabitants, led by Yana Maddock and Sean Shongili, fought off the mercenary designs of a powerful interstellar corporation determined to exploit the icy world's natural resources. In Changelings, the first of a new series of novels, Anne McCaffrey and Elizabeth Ann Scarborough return to Petaybee. Yana and Sean are now the parents of twins, Ronan Born for Water Shongili and Murel Monster Slayer Shongili. Born on Petyabee, their destiny is deeply intertwined with the sentient planet that is their home. For Ronan and Murel are more than human. Like their father, each can transform into a seal and converse telepathically with the planet's creatures - such as the friendly otter whose life they save one day from a pack of ravenous wolves. But the twins' bravery has unforeseen results when a visiting scientist witnesses their startling metamorphosis and becomes obsessed with their capture. To protect their children, Sean and Yana send them to stay with a powerful family friend on an orbiting space station. But no one realizes how curious Ronan and Murel are to discover the origins of their shape-shifting talent - and that their search for knowledge will place them squarely in the path of peril. Meanwhile Petaybee is changing - and much faster than an ordinary planet's natural evolution. It appears that portions of the sea are heating up and a landmass is suddenly rising from the depths. To investigate the startling occurrence, Sean heads out to the open water in his seal form. Bur the newly unstable region holds untold mysteries - and the potential for disaster",,http://books.google.com/books/content?id=k6TgAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,273,2006,,0593056124,9780593056127,en,{},['Brothers and sisters'],,,[],,
